tableField,table_name,Object,Object Label,Object Plural,column_name,Field Name,Field Label,Type,Length,Decimal Places,Reference To,Relationship Name,Relationship Label,Required,External Id,Unique,Track Field History
DocumentFolders.InteractionId,DocumentFolders,DocumentFolder__c,Document Folder,Document Folders,InteractionId,InteractionId__c,Interaction Id,Number,10,0,,,,,,,
DocumentFolders.OrganizationId,DocumentFolders,DocumentFolder__c,Document Folder,Document Folders,OrganizationId,OrganizationId__c,Organization Id,Number,10,0,,,,,,,
DocumentFolders.RequestId,DocumentFolders,DocumentFolder__c,Document Folder,Document Folders,RequestId,RequestId__c,Request Id,Number,10,0,,,,,,,
DocumentMergeFields.DocumentMergeFieldId,DocumentMergeFields,DocumentMergeField__c,Document Merge Field,Document Merge Fields,DocumentMergeFieldId,DocumentMergeFieldId__c,Document Merge Field Id,Number,10,0,,,,,,,
DocumentMergeFields.FieldText,DocumentMergeFields,DocumentMergeField__c,Document Merge Field,Document Merge Fields,FieldText,FieldText__c,Field Text,Text,4000,,,,,,,,
DocumentMergeFields.Name,DocumentMergeFields,DocumentMergeField__c,Document Merge Field,Document Merge Fields,Name,Name__c,Name,Text,255,,,,,,,,
DocumentMergeFields.ObjectType,DocumentMergeFields,DocumentMergeField__c,Document Merge Field,Document Merge Fields,ObjectType,ObjectType__c,Object Type,Number,10,0,,,,,,,
Documents.AutoGenerated,Documents,Document__c,Document,Documents,AutoGenerated,AutoGenerated__c,Auto Generated,Checkbox,,,,,,,,,
Documents.ChangeDate,Documents,Document__c,Document,Documents,ChangeDate,ChangeDate__c,Change Date,DateTime,,,,,,,,,
Documents.ChangeUserId,Documents,Document__c,Document,Documents,ChangeUserId,ChangeUserId__c,Change User Id,Number,10,0,,,,,,,
Documents.Class,Documents,Document__c,Document,Documents,Class,Class__c,Class,<unknown>,,,,,,,,,
Documents.ClassName,Documents,Document__c,Document,Documents,ClassName,ClassName__c,Class Name,<unknown>,,,,,,,,,
Documents.Complete,Documents,Document__c,Document,Documents,Complete,Complete__c,Complete,Checkbox,,,,,,,,,
Documents.CompleteDate,Documents,Document__c,Document,Documents,CompleteDate,CompleteDate__c,Complete Date,DateTime,,,,,,,,,
Documents.CreateDate,Documents,Document__c,Document,Documents,CreateDate,CreateDate__c,Create Date,DateTime,,,,,,,,,
Documents.CreateUserId,Documents,Document__c,Document,Documents,CreateUserId,CreateUserId__c,Create User Id,Number,10,0,,,,,,,
Documents.DocketId,Documents,Document__c,Document,Documents,DocketId,DocketId__c,Docket Id,Number,10,0,,,,,,,
Documents.DocumentId,Documents,Document__c,Document,Documents,DocumentId,DocumentId__c,Document Id,Number,10,0,,,,,,,
Documents.DocumentSignatureRequestId,Documents,Document__c,Document,Documents,DocumentSignatureRequestId,DocumentSignatureRequestId__c,Document Signature Request Id,Number,10,0,,,,,,,
Documents.EventCode,Documents,Document__c,Document,Documents,EventCode,EventCode__c,Event Code,Number,5,0,,,,,,,
Documents.EventName,Documents,Document__c,Document,Documents,EventName,EventName__c,Event Name,<unknown>,,,,,,,,,
Documents.FileName,Documents,Document__c,Document,Documents,FileName,FileName__c,File Name,Text,255,,,,,,,,
Documents.FileToken,Documents,Document__c,Document,Documents,FileToken,FileToken__c,File Token,Text,100,,,,,,,,
Documents.InteractionId,Documents,Document__c,Document,Documents,InteractionId,InteractionId__c,Interaction Id,Number,10,0,,,,,,,
Documents.IsSuperDoc,Documents,Document__c,Document,Documents,IsSuperDoc,IsSuperDoc__c,Is Super Doc,Number,10,0,,,,,,,
Documents.Landscape,Documents,Document__c,Document,Documents,Landscape,Landscape__c,Landscape,Checkbox,,,,,,,,,
Documents.Locked,Documents,Document__c,Document,Documents,Locked,Locked__c,Locked,Checkbox,,,,,,,,,
Documents.LockedDate,Documents,Document__c,Document,Documents,LockedDate,LockedDate__c,Locked Date,DateTime,,,,,,,,,
Documents.LockedStaffId,Documents,Document__c,Document,Documents,LockedStaffId,LockedStaffId__c,Locked Staff Id,Number,10,0,,,,,,,
Documents.Notes,Documents,Document__c,Document,Documents,Notes,Notes__c,Notes,Text,255,,,,,,,,
Documents.OrganizationId,Documents,Document__c,Document,Documents,OrganizationId,OrganizationId__c,Organization Id,Number,10,0,,,,,,,
Documents.OwnerType,Documents,Document__c,Document,Documents,OwnerType,OwnerType__c,Owner Type,Number,10,0,,,,,,,
Documents.PaymentId,Documents,Document__c,Document,Documents,PaymentId,PaymentId__c,Payment Id,Number,10,0,,,,,,,
Documents.PortfolioId,Documents,Document__c,Document,Documents,PortfolioId,PortfolioId__c,Portfolio Id,Number,10,0,,,,,,,
Documents.PublishedBlobName,Documents,Document__c,Document,Documents,PublishedBlobName,PublishedBlobName__c,Published Blob Name,Text,256,,,,,,,,
Documents.PublishedFileUrl,Documents,Document__c,Document,Documents,PublishedFileUrl,PublishedFileUrl__c,Published File Url,Text,512,,,,,,,,
Documents.PublishedToPortal,Documents,Document__c,Document,Documents,PublishedToPortal,PublishedToPortal__c,Published To Portal,Checkbox,,,,,,,,,
Documents.PublishedToPortalDate,Documents,Document__c,Document,Documents,PublishedToPortalDate,PublishedToPortalDate__c,Published To Portal Date,DateTime,,,,,,,,,
Documents.PublishedToPortalUserId,Documents,Document__c,Document,Documents,PublishedToPortalUserId,PublishedToPortalUserId__c,Published To Portal User Id,Number,10,0,,,,,,,
Documents.Rank,Documents,Document__c,Document,Documents,Rank,Rank__c,Rank,Number,10,0,,,,,,,
Documents.RequestId,Documents,Document__c,Document,Documents,RequestId,RequestId__c,Request Id,Number,10,0,,,,,,,
Documents.RequirementId,Documents,Document__c,Document,Documents,RequirementId,RequirementId__c,Requirement Id,Number,10,0,,,,,,,
Documents.ScheduleDate,Documents,Document__c,Document,Documents,ScheduleDate,ScheduleDate__c,Schedule Date,DateTime,,,,,,,,,
Documents.SourceId,Documents,Document__c,Document,Documents,SourceId,SourceId__c,Source Id,Text,128,,,,,,,,
Documents.SourcePath,Documents,Document__c,Document,Documents,SourcePath,SourcePath__c,Source Path,Text,512,,,,,,,,
Documents.SourceTypeId,Documents,Document__c,Document,Documents,SourceTypeId,SourceTypeId__c,Source Type Id,Number,10,0,,,,,,,
Documents.StaffId,Documents,Document__c,Document,Documents,StaffId,StaffId__c,Staff Id,Number,10,0,,,,,,,
Documents.Starred,Documents,Document__c,Document,Documents,Starred,Starred__c,Starred,Checkbox,,,,,,,,,
Documents.Subdirectory,Documents,Document__c,Document,Documents,Subdirectory,Subdirectory__c,Subdirectory,Text,100,,,,,,,,
Documents.Subject,Documents,Document__c,Document,Documents,Subject,Subject__c,Subject,Text,255,,,,,,,,
Documents.TemplateId,Documents,Document__c,Document,Documents,TemplateId,TemplateId__c,Template Id,Number,10,0,,,,,,,
Documents.Title,Documents,Document__c,Document,Documents,Title,Title__c,Title,Text,255,,,,,,,,
Documents.TypeName,Documents,Document__c,Document,Documents,TypeName,TypeName__c,Type Name,Text,255,,,,,,,,
Documents.WriteUp,Documents,Document__c,Document,Documents,WriteUp,WriteUp__c,Write Up,Checkbox,,,,,,,,,
DocumentSignatureRequestRecipients.DocumentSignatureRequestId,DocumentSignatureRequestRecipients,DocumentSignatureRequestRecipient__c,Document Signature Request Recipient,Document Signature Request Recipients,DocumentSignatureRequestId,DocumentSignatureRequestId__c,Document Signature Request Id,Number,10,0,,,,,,,
DocumentSignatureRequestRecipients.DocumentSignatureRequestRecipientId,DocumentSignatureRequestRecipients,DocumentSignatureRequestRecipient__c,Document Signature Request Recipient,Document Signature Request Recipients,DocumentSignatureRequestRecipientId,DocumentSignatureRequestRecipientId__c,Document Signature Request Recipient Id,Number,10,0,,,,,,,
DocumentSignatureRequestRecipients.Email,DocumentSignatureRequestRecipients,DocumentSignatureRequestRecipient__c,Document Signature Request Recipient,Document Signature Request Recipients,Email,Email__c,Email,<unknown>,,,,,,,,,
DocumentSignatureRequestRecipients.Order,DocumentSignatureRequestRecipients,DocumentSignatureRequestRecipient__c,Document Signature Request Recipient,Document Signature Request Recipients,Order,Order__c,Order,Number,10,0,,,,,,,
DocumentSignatureRequestRecipients.ProviderRecipientId,DocumentSignatureRequestRecipients,DocumentSignatureRequestRecipient__c,Document Signature Request Recipient,Document Signature Request Recipients,ProviderRecipientId,ProviderRecipientId__c,Provider Recipient Id,<unknown>,,,,,,,,,
DocumentSignatureRequestRecipients.ProviderRecipientName,DocumentSignatureRequestRecipients,DocumentSignatureRequestRecipient__c,Document Signature Request Recipient,Document Signature Request Recipients,ProviderRecipientName,ProviderRecipientName__c,Provider Recipient Name,<unknown>,,,,,,,,,
DocumentSignatureRequestRecipients.Type,DocumentSignatureRequestRecipients,DocumentSignatureRequestRecipient__c,Document Signature Request Recipient,Document Signature Request Recipients,Type,Type__c,Type,<unknown>,,,,,,,,,
DocumentSignatureRequestRecipients.UserId,DocumentSignatureRequestRecipients,DocumentSignatureRequestRecipient__c,Document Signature Request Recipient,Document Signature Request Recipients,UserId,UserId__c,User Id,Number,10,0,,,,,,,
DocumentSignatureRequests.CompletedDocumentBlobName,DocumentSignatureRequests,DocumentSignatureRequest__c,Document Signature Request,Document Signature Requests,CompletedDocumentBlobName,CompletedDocumentBlobName__c,Completed Document Blob Name,<unknown>,,,,,,,,,
DocumentSignatureRequests.CreateDate,DocumentSignatureRequests,DocumentSignatureRequest__c,Document Signature Request,Document Signature Requests,CreateDate,CreateDate__c,Create Date,DateTime,,,,,,,,,
DocumentSignatureRequests.DocumentId,DocumentSignatureRequests,DocumentSignatureRequest__c,Document Signature Request,Document Signature Requests,DocumentId,DocumentId__c,Document Id,Number,10,0,,,,,,,
DocumentSignatureRequests.DocumentSignatureRequestId,DocumentSignatureRequests,DocumentSignatureRequest__c,Document Signature Request,Document Signature Requests,DocumentSignatureRequestId,DocumentSignatureRequestId__c,Document Signature Request Id,Number,10,0,,,,,,,
DocumentSignatureRequests.ExternalDocumentId,DocumentSignatureRequests,DocumentSignatureRequest__c,Document Signature Request,Document Signature Requests,ExternalDocumentId,ExternalDocumentId__c,External Document Id,<unknown>,,,,,,,,,
DocumentSignatureRequests.SenderUserId,DocumentSignatureRequests,DocumentSignatureRequest__c,Document Signature Request,Document Signature Requests,SenderUserId,SenderUserId__c,Sender User Id,Number,10,0,,,,,,,
EmailAddresses.ChangeDate,EmailAddresses,EmailAddress__c,Email Address,Email Addresses,ChangeDate,ChangeDate__c,Change Date,DateTime,,,,,,,,,
EmailAddresses.CreateDate,EmailAddresses,EmailAddress__c,Email Address,Email Addresses,CreateDate,CreateDate__c,Create Date,DateTime,,,,,,,,,
EmailAddresses.Email,EmailAddresses,EmailAddress__c,Email Address,Email Addresses,Email,Email__c,Email,Text,100,,,,,,,,
EmailAddresses.EmailId,EmailAddresses,EmailAddress__c,Email Address,Email Addresses,EmailId,EmailId__c,Email Id,Number,10,0,,,,,,,
EmailAddresses.EmailType,EmailAddresses,EmailAddress__c,Email Address,Email Addresses,EmailType,EmailType__c,Email Type,Text,20,,,,,,,,
EmailAddresses.UserId,EmailAddresses,EmailAddress__c,Email Address,Email Addresses,UserId,UserId__c,User Id,Number,10,0,,,,,,,
Emails.Bccs,Emails,Email__c,Email,Emails,Bccs,Bccs__c,Bccs,Text,1000,,,,,,,,
Emails.Body,Emails,Email__c,Email,Emails,Body,Body__c,Body,Text,255,,,,,,,,
Emails.Ccs,Emails,Email__c,Email,Emails,Ccs,Ccs__c,Ccs,Text,1000,,,,,,,,
Emails.ChangeDate,Emails,Email__c,Email,Emails,ChangeDate,ChangeDate__c,Change Date,DateTime,,,,,,,,,
Emails.ChangeUserId,Emails,Email__c,Email,Emails,ChangeUserId,ChangeUserId__c,Change User Id,Number,10,0,,,,,,,
Emails.CreateDate,Emails,Email__c,Email,Emails,CreateDate,CreateDate__c,Create Date,DateTime,,,,,,,,,
Emails.CreateUserId,Emails,Email__c,Email,Emails,CreateUserId,CreateUserId__c,Create User Id,Number,10,0,,,,,,,
Emails.EmailId,Emails,Email__c,Email,Emails,EmailId,EmailId__c,Email Id,Number,10,0,,,,,,,
Emails.From,Emails,Email__c,Email,Emails,From,From__c,From,Text,100,,,,,,,,
Emails.LatestEvent,Emails,Email__c,Email,Emails,LatestEvent,LatestEvent__c,Latest Event,Number,10,0,,,,,,,
Emails.MessageId,Emails,Email__c,Email,Emails,MessageId,MessageId__c,Message Id,Text,50,,,,,,,,
Emails.PlainTextMessage,Emails,Email__c,Email,Emails,PlainTextMessage,PlainTextMessage__c,Plain Text Message,Text,255,,,,,,,,
Emails.Status,Emails,Email__c,Email,Emails,Status,Status__c,Status,Number,10,0,,,,,,,
Emails.Subject,Emails,Email__c,Email,Emails,Subject,Subject__c,Subject,Text,500,,,,,,,,
Emails.ThreadGuid,Emails,Email__c,Email,Emails,ThreadGuid,ThreadGuid__c,Thread Guid,Text,256,,,,,,,,
Emails.Tos,Emails,Email__c,Email,Emails,Tos,Tos__c,Tos,Text,500,,,,,,,,
EmailTemplateCCs.EmailTemplateCCId,EmailTemplateCCs,EmailTemplateCC__c,Email Template CC,Email Template CCs,EmailTemplateCCId,EmailTemplateCCId__c,Email Template CCId,Number,10,0,,,,,,,
EmailTemplateCCs.EmailTemplateId,EmailTemplateCCs,EmailTemplateCC__c,Email Template CC,Email Template CCs,EmailTemplateId,EmailTemplateId__c,Email Template Id,Number,10,0,,,,,,,
EmailTemplateCCs.PrimaryStaff,EmailTemplateCCs,EmailTemplateCC__c,Email Template CC,Email Template CCs,PrimaryStaff,PrimaryStaff__c,Primary Staff,Checkbox,,,,,,,,,
EmailTemplateCCs.RoleId,EmailTemplateCCs,EmailTemplateCC__c,Email Template CC,Email Template CCs,RoleId,RoleId__c,Role Id,Number,10,0,,,,,,,
EmailTemplateCCs.SecondaryStaff,EmailTemplateCCs,EmailTemplateCC__c,Email Template CC,Email Template CCs,SecondaryStaff,SecondaryStaff__c,Secondary Staff,Checkbox,,,,,,,,,
EmailTemplates.ChangeDate,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,ChangeDate,ChangeDate__c,Change Date,DateTime,,,,,,,,,
EmailTemplates.ChangeUserId,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,ChangeUserId,ChangeUserId__c,Change User Id,Number,10,0,,,,,,,
EmailTemplates.CreateDate,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,CreateDate,CreateDate__c,Create Date,DateTime,,,,,,,,,
EmailTemplates.CreateUserId,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,CreateUserId,CreateUserId__c,Create User Id,Number,10,0,,,,,,,
EmailTemplates.EmailTemplateId,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,EmailTemplateId,EmailTemplateId__c,Email Template Id,Number,10,0,,,,,,,
EmailTemplates.Message,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,Message,Message__c,Message,Text,255,,,,,,,,
EmailTemplates.Name,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,Name,Name__c,Name,Text,255,,,,,,,,
EmailTemplates.ObjectType,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,ObjectType,ObjectType__c,Object Type,Number,10,0,,,,,,,
EmailTemplates.PrimaryContact,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,PrimaryContact,PrimaryContact__c,Primary Contact,Checkbox,,,,,,,,,
EmailTemplates.RoleId,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,RoleId,RoleId__c,Role Id,Number,10,0,,,,,,,
EmailTemplates.Subject,EmailTemplates,EmailTemplate__c,Email Template,Email Templates,Subject,Subject__c,Subject,Text,255,,,,,,,,
ExpenditureResponsibilityPeriods.Amount,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,Amount,Amount__c,Amount,Currency,16,2,,,,,,,
ExpenditureResponsibilityPeriods.ChangeDate,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,ChangeDate,ChangeDate__c,Change Date,DateTime,,,,,,,,,
ExpenditureResponsibilityPeriods.ChangeUserId,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,ChangeUserId,ChangeUserId__c,Change User Id,Number,10,0,,,,,,,
ExpenditureResponsibilityPeriods.CreateDate,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,CreateDate,CreateDate__c,Create Date,DateTime,,,,,,,,,
ExpenditureResponsibilityPeriods.CreateUserId,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,CreateUserId,CreateUserId__c,Create User Id,Number,10,0,,,,,,,
ExpenditureResponsibilityPeriods.EndDate,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,EndDate,EndDate__c,End Date,DateTime,,,,,,,,,
ExpenditureResponsibilityPeriods.ExpenditureResponsibilityPeriodId,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,ExpenditureResponsibilityPeriodId,ExpenditureResponsibilityPeriodId__c,Expenditure Responsibility Period Id,Number,10,0,,,,,,,
ExpenditureResponsibilityPeriods.Notes,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,Notes,Notes__c,Notes,Text,255,,,,,,,,
ExpenditureResponsibilityPeriods.RequestId,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,RequestId,RequestId__c,Request Id,Number,10,0,,,,,,,
ExpenditureResponsibilityPeriods.StartDate,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,StartDate,StartDate__c,Start Date,DateTime,,,,,,,,,
ExpenditureResponsibilityPeriods.Verified,ExpenditureResponsibilityPeriods,ExpenditureResponsibilityPeriod__c,Expenditure Responsibility Period,Expenditure Responsibility Periods,Verified,Verified__c,Verified,Checkbox,,,,,,,,,
ExternalExpenses.Amount,ExternalExpenses,ExternalExpense__c,External Expense,External Expenses,Amount,Amount__c,Amount,<unknown>,,,,,,,,,
ExternalExpenses.AttribId2,ExternalExpenses,ExternalExpense__c,External Expense,External Expenses,AttribId2,AttribId2__c,Attrib Id2,Number,10,0,,,,,,,
ExternalExpenses.ChangeDate,ExternalExpenses,ExternalExpense__c,External Expense,External Expenses,ChangeDate,ChangeDate__c,Change Date,DateTime,,,,,,,,,
ExternalExpenses.CreateDate,ExternalExpenses,ExternalExpense__c,External Expense,External Expenses,CreateDate,CreateDate__c,Create Date,DateTime,,,,,,,,,
ExternalExpenses.DashboardId,ExternalExpenses,ExternalExpense__c,External Expense,External Expenses,DashboardId,DashboardId__c,Dashboard Id,Number,10,0,,,,,,,
ExternalExpenses.ExternalExpenseId,ExternalExpenses,ExternalExpense__c,External Expense,External Expenses,ExternalExpenseId,ExternalExpenseId__c,External Expense Id,Number,10,0,,,,,,,
ExternalExpenses.FiscalYearId,ExternalExpenses,ExternalExpense__c,External Expense,External Expenses,FiscalYearId,FiscalYearId__c,Fiscal Year Id,Number,10,0,,,,,,,
ExternalExpenses.L1Id,ExternalExpenses,ExternalExpense__c,External Expense,External Expenses,L1Id,L1Id__c,L1Id,Number,10,0,,,,,,,
ExternalExpenses.StageId,ExternalExpenses,ExternalExpense__c,External Expense,External Expenses,StageId,StageId__c,Stage Id,Number,10,0,,,,,,,
FieldLabels.EntityType,FieldLabels,FieldLabel__c,Field Label,Field Labels,EntityType,EntityType__c,Entity Type,Number,10,0,,,,,,,
FieldLabels.FieldLabelId,FieldLabels,FieldLabel__c,Field Label,Field Labels,FieldLabelId,FieldLabelId__c,Field Label Id,Number,10,0,,,,,,,
FieldLabels.FieldName,FieldLabels,FieldLabel__c,Field Label,Field Labels,FieldName,FieldName__c,Field Name,<unknown>,,,,,,,,,
FieldLabels.Label,FieldLabels,FieldLabel__c,Field Label,Field Labels,Label,Label__c,Label,Text,256,,,,,,,,
FieldLabels.TypeId,FieldLabels,FieldLabel__c,Field Label,Field Labels,TypeId,TypeId__c,Type Id,Number,10,0,,,,,,,
FinancialHealthDataSources.ChangeDate,FinancialHealthDataSources,FinancialHealthDataSource__c,Financial Health Data Source,Financial Health Data Sources,ChangeDate,ChangeDate__c,Change Date,DateTime,,,,,,,,,
FinancialHealthDataSources.ChangeUserId,FinancialHealthDataSources,FinancialHealthDataSource__c,Financial Health Data Source,Financial Health Data Sources,ChangeUserId,ChangeUserId__c,Change User Id,Number,10,0,,,,,,,
FinancialHealthDataSources.CreateDate,FinancialHealthDataSources,FinancialHealthDataSource__c,Financial Health Data Source,Financial Health Data Sources,CreateDate,CreateDate__c,Create Date,DateTime,,,,,,,,,
FinancialHealthDataSources.CreateUserId,FinancialHealthDataSources,FinancialHealthDataSource__c,Financial Health Data Source,Financial Health Data Sources,CreateUserId,CreateUserId__c,Create User Id,Number,10,0,,,,,,,
FinancialHealthDataSources.FinancialHealthDataSourceId,FinancialHealthDataSources,FinancialHealthDataSource__c,Financial Health Data Source,Financial Health Data Sources,FinancialHealthDataSourceId,FinancialHealthDataSourceId__c,Financial Health Data Source Id,Number,10,0,,,,,,,
FinancialHealthDataSources.Inactive,FinancialHealthDataSources,FinancialHealthDataSource__c,Financial Health Data Source,Financial Health Data Sources,Inactive,Inactive__c,Inactive,Checkbox,,,,,,,,,
FinancialHealthDataSources.IncludeInFinancialIndicatorCalculationByDefault,FinancialHealthDataSources,FinancialHealthDataSource__c,Financial Health Data Source,Financial Health Data Sources,IncludeInFinancialIndicatorCalculationByDefault,IncludeInFinancialIndicatorCalculationByDefault__c,Include In Financial Indicator Calculation By Default,Checkbox,,,,,,,,,
FinancialHealthDataSources.Name,FinancialHealthDataSources,FinancialHealthDataSource__c,Financial Health Data Source,Financial Health Data Sources,Name,Name__c,Name,Text,100,,,,,,,,
FinancialHealthDataSources.OrderNum,FinancialHealthDataSources,FinancialHealthDataSource__c,Financial Health Data Source,Financial Health Data Sources,OrderNum,OrderNum__c,Order Num,Number,10,0,,,,,,,
FiscalYears.BudgetEnabled,FiscalYears,FiscalYear__c,Fiscal Year,Fiscal Years,BudgetEnabled,BudgetEnabled__c,Budget Enabled,Checkbox,,,,,,,,,
FiscalYears.EndDate,FiscalYears,FiscalYear__c,Fiscal Year,Fiscal Years,EndDate,EndDate__c,End Date,DateTime,,,,,,,,,
FiscalYears.FiscalYearId,FiscalYears,FiscalYear__c,Fiscal Year,Fiscal Years,FiscalYearId,FiscalYearId__c,Fiscal Year Id,Number,10,0,,,,,,,
FiscalYears.RequiredDistribution,FiscalYears,FiscalYear__c,Fiscal Year,Fiscal Years,RequiredDistribution,RequiredDistribution__c,Required Distribution,<unknown>,,,,,,,,,
FiscalYears.StartDate,FiscalYears,FiscalYear__c,Fiscal Year,Fiscal Years,StartDate,StartDate__c,Start Date,DateTime,,,,,,,,,
FiscalYears.Year,FiscalYears,FiscalYear__c,Fiscal Year,Fiscal Years,Year,Year__c,Year,Number,10,0,,,,,,,
GD_Addresses$.Address1,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,Address1,Address1__c,Address1,Text,255,,,,,,,,
GD_Addresses$.Address2,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,Address2,Address2__c,Address2,Text,255,,,,,,,,
GD_Addresses$.AddressId,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,AddressId,AddressId__c,Address Id,<unknown>,,,,,,,,,
GD_Addresses$.AddressType,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,AddressType,AddressType__c,Address Type,Text,255,,,,,,,,
GD_Addresses$.ChangeDate,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,ChangeDate,ChangeDate__c,Change Date,Text,255,,,,,,,,
GD_Addresses$.City,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,City,City__c,City,Text,255,,,,,,,,
GD_Addresses$.Country,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,Country,Country__c,Country,Text,255,,,,,,,,
GD_Addresses$.CreateDate,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,CreateDate,CreateDate__c,Create Date,<unknown>,,,,,,,,,
GD_Addresses$.Description,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,Description,Description__c,Description,Text,255,,,,,,,,
GD_Addresses$.GeocodeDate,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,GeocodeDate,GeocodeDate__c,Geocode Date,Text,255,,,,,,,,
GD_Addresses$.Lat,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,Lat,Lat__c,Lat,Text,255,,,,,,,,
GD_Addresses$.Lon,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,Lon,Lon__c,Lon,Text,255,,,,,,,,
GD_Addresses$.OrganizationId,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,OrganizationId,OrganizationId__c,Organization Id,Text,255,,,,,,,,
GD_Addresses$.Primary,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,Primary,Primary__c,Primary,<unknown>,,,,,,,,,
GD_Addresses$.SourceId,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,SourceId,SourceId__c,Source Id,Text,255,,,,,,,,
GD_Addresses$.State,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,State,State__c,State,Text,255,,,,,,,,
GD_Addresses$.UserId,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,UserId,UserId__c,User Id,Text,255,,,,,,,,
GD_Addresses$.Zip,GD_Addresses$,GD_Addresses$__c,GD_Addresses$,GD_Addresses$s,Zip,Zip__c,Zip,<unknown>,,,,,,,,,
GD_Doc_Metadata_List$.api_url,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$__c,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$s,api_url,api_url__c,api_url,Text,255,,,,,,,,
GD_Doc_Metadata_List$.doc_main_source,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$__c,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$s,doc_main_source,doc_main_source__c,doc_main_source,Text,255,,,,,,,,
GD_Doc_Metadata_List$.doc_type,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$__c,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$s,doc_type,doc_type__c,doc_type,Text,255,,,,,,,,
GD_Doc_Metadata_List$.document_id,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$__c,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$s,document_id,document_id__c,document_id,<unknown>,,,,,,,,,
GD_Doc_Metadata_List$.file_name,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$__c,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$s,file_name,file_name__c,file_name,Text,255,,,,,,,,
GD_Doc_Metadata_List$.org_SourceID,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$__c,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$s,org_SourceID,org_SourceID__c,org_Source ID,Text,255,,,,,,,,
GD_Doc_Metadata_List$.payment_SourceID,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$__c,GD_Doc_Metadata_List$,GD_Doc_Metadata_List$s,payment_SourceID,payment_SourceID__c,payment_Source ID,Text,255,,,,,,,,
